rank,Name,Year,State,male_count,female_count,unisex_score
1,Terry,1960,AK,19,14,73.68
2,Tracy,1960,AK,7,10,70.0
3,Leslie,1960,AK,5,21,23.81
4,Kelly,1960,AK,7,32,21.88
5,Aaron,1960,AK,7,,0.0
6,Alan,1960,AK,13,,0.0
7,Albert,1960,AK,14,,0.0
8,Alfred,1960,AK,8,,0.0
9,Alice,1960,AK,,22,0.0
10,Allen,1960,AK,6,,0.0
11,Alvin,1960,AK,5,,0.0
12,Amy,1960,AK,,8,0.0
13,Andrea,1960,AK,,6,0.0
14,Andrew,1960,AK,23,,0.0
15,Angela,1960,AK,,11,0.0
16,Anita,1960,AK,,12,0.0
17,Ann,1960,AK,,12,0.0
18,Anna,1960,AK,,13,0.0
19,Annette,1960,AK,,9,0.0
20,Anthony,1960,AK,24,,0.0
21,April,1960,AK,,5,0.0
22,Arnold,1960,AK,6,,0.0
23,Arthur,1960,AK,12,,0.0
24,Barbara,1960,AK,,32,0.0
25,Barry,1960,AK,7,,0.0
26,Becky,1960,AK,,7,0.0
27,Ben,1960,AK,6,,0.0
28,Benjamin,1960,AK,5,,0.0
29,Bernadette,1960,AK,,8,0.0
30,Bernard,1960,AK,7,,0.0
1,Shelby,1960,AL,9,9,100.0
2,Pat,1960,AL,11,12,91.67
3,Unknown,1960,AL,17,15,88.24
4,Jackie,1960,AL,61,72,84.72
5,Marion,1960,AL,24,19,79.17
6,Francis,1960,AL,7,9,77.78
7,Johnnie,1960,AL,51,38,74.51
8,Leslie,1960,AL,45,61,73.77
9,Jody,1960,AL,11,8,72.73
10,Shawn,1960,AL,5,7,71.43
11,Ollie,1960,AL,6,9,66.67
12,Shannon,1960,AL,7,11,63.64
13,Stacey,1960,AL,6,10,60.0
14,Frankie,1960,AL,41,22,53.66
15,Billie,1960,AL,8,16,50.0
16,Tracy,1960,AL,38,84,45.24
17,Jessie,1960,AL,57,24,42.11
18,Lynn,1960,AL,23,56,41.07
19,Stacy,1960,AL,5,13,38.46
20,Jamie,1960,AL,14,40,35.0
21,Lee,1960,AL,103,31,30.1
22,Robbie,1960,AL,9,30,30.0
23,Kelly,1960,AL,24,82,29.27
24,Sandy,1960,AL,8,31,25.81
25,Robin,1960,AL,33,148,22.3
26,Jimmie,1960,AL,73,16,21.92
27,Dana,1960,AL,13,60,21.67
28,Tommie,1960,AL,37,7,18.92
29,Bobbie,1960,AL,7,42,16.67
30,Willie,1960,AL,514,81,15.76
1,Robbie,1960,AR,11,11,100.0
2,Jackie,1960,AR,50,52,96.15
3,Tracy,1960,AR,44,46,95.65
4,Marion,1960,AR,7,8,87.5
5,Unknown,1960,AR,7,6,85.71
6,Johnnie,1960,AR,19,15,78.95
7,Leslie,1960,AR,29,39,74.36
8,Francis,1960,AR,5,7,71.43
9,Jody,1960,AR,7,5,71.43
10,Tommie,1960,AR,15,10,66.67
11,Ollie,1960,AR,5,9,55.56
12,Pat,1960,AR,11,6,54.55
13,Lynn,1960,AR,10,19,52.63
14,Jessie,1960,AR,37,18,48.65
15,Frankie,1960,AR,29,13,44.83
16,Lee,1960,AR,59,25,42.37
17,Kelly,1960,AR,22,53,41.51
18,Billie,1960,AR,7,17,41.18
19,Kerry,1960,AR,23,8,34.78
20,Terry,1960,AR,311,56,18.01
21,Willie,1960,AR,139,24,17.27
22,Kim,1960,AR,13,79,16.46
23,Jimmie,1960,AR,32,5,15.63
24,Robin,1960,AR,15,108,13.89
25,Bobbie,1960,AR,6,51,11.76
26,Freddie,1960,AR,51,6,11.76
27,Joe,1960,AR,145,10,6.9
28,Bobby,1960,AR,212,7,3.3
29,Jerry,1960,AR,269,7,2.6
30,James,1960,AR,865,10,1.16
1,Jessie,1960,AZ,10,11,90.91
2,Jody,1960,AZ,17,14,82.35
3,Pat,1960,AZ,12,9,75.0
4,Rene,1960,AZ,16,11,68.75
5,Dana,1960,AZ,15,23,65.22
6,Shawn,1960,AZ,17,11,64.71
7,Kerry,1960,AZ,17,10,58.82
8,Terry,1960,AZ,94,52,55.32
9,Tracy,1960,AZ,24,46,52.17
10,Leslie,1960,AZ,22,43,51.16
11,Jackie,1960,AZ,10,20,50.0
12,Lee,1960,AZ,29,10,34.48
13,Kelly,1960,AZ,29,88,32.95
14,Guadalupe,1960,AZ,9,32,28.13
15,Lynn,1960,AZ,12,43,27.91
16,Chris,1960,AZ,60,13,21.67
17,Kim,1960,AZ,13,85,15.29
18,Robin,1960,AZ,12,89,13.48
19,Joe,1960,AZ,132,5,3.79
20,Aaron,1960,AZ,18,,0.0
21,Abel,1960,AZ,11,,0.0
22,Abelardo,1960,AZ,5,,0.0
23,Adam,1960,AZ,6,,0.0
24,Adelina,1960,AZ,,6,0.0
25,Adrian,1960,AZ,6,,0.0
26,Alan,1960,AZ,44,,0.0
27,Albert,1960,AZ,67,,0.0
28,Alberta,1960,AZ,,8,0.0
29,Alberto,1960,AZ,16,,0.0
30,Alejandro,1960,AZ,9,,0.0
1,Robbie,1960,CA,43,43,100.0
2,Page,1960,CA,5,5,100.0
3,Rene,1960,CA,129,127,98.45
4,Jessie,1960,CA,59,57,96.61
5,Kris,1960,CA,62,65,95.38
6,Cris,1960,CA,12,11,91.67
7,Devon,1960,CA,7,8,87.5
8,Kerry,1960,CA,164,143,87.2
9,Shelby,1960,CA,11,9,81.82
10,Paris,1960,CA,8,6,75.0
11,Sammie,1960,CA,8,6,75.0
12,Unknown,1960,CA,11,8,72.73
