rank,Name,Year,male_count,female_count,unisex_score
1,Randie,1960,25,25,100.0
2,Sheridan,1960,20,20,100.0
3,Arie,1960,11,11,100.0
4,Terris,1960,7,7,100.0
5,Ivery,1960,6,6,100.0
6,Tevis,1960,6,6,100.0
7,Curlie,1960,5,5,100.0
8,Danile,1960,5,5,100.0
9,Dossie,1960,5,5,100.0
10,Geral,1960,5,5,100.0
11,Lauris,1960,5,5,100.0
12,Lorren,1960,5,5,100.0
13,Mar,1960,5,5,100.0
14,Mechel,1960,5,5,100.0
15,Ysabel,1960,5,5,100.0
16,Alva,1960,60,59,98.33
17,Kit,1960,39,38,97.44
18,Robbie,1960,451,463,97.41
19,Nicola,1960,31,30,96.77
20,Shan,1960,15,16,93.75
21,Mallory,1960,15,14,93.33
22,Teddie,1960,28,26,92.86
23,Terryl,1960,26,24,92.31
24,Shay,1960,12,11,91.67
25,Shell,1960,11,12,91.67
26,Tory,1960,47,43,91.49
27,Delane,1960,22,20,90.91
28,Raven,1960,10,11,90.91
29,Clemmie,1960,10,9,90.0
30,Tonnie,1960,24,27,88.89
31,Laine,1960,16,18,88.89
32,Paris,1960,64,56,87.5
33,Adrien,1960,8,7,87.5
34,Elvie,1960,7,8,87.5
35,Joie,1960,8,7,87.5
36,Pepper,1960,7,8,87.5
37,Monnie,1960,13,15,86.67
38,Dann,1960,49,42,85.71
39,Avon,1960,21,18,85.71
40,Carlon,1960,14,12,85.71
41,Kasey,1960,14,12,85.71
42,Jimi,1960,7,6,85.71
43,Marquette,1960,6,7,85.71
44,Vertis,1960,6,7,85.71
45,Jammie,1960,23,27,85.19
46,Lacey,1960,16,19,84.21
47,Kye,1960,6,5,83.33
48,Laray,1960,5,6,83.33
49,Lindley,1960,5,6,83.33
50,Rainey,1960,6,5,83.33
1,Lonie,1961,12,12,100.0
2,Tarry,1961,12,12,100.0
3,Carlis,1961,11,11,100.0
4,Burnette,1961,8,8,100.0
5,Tery,1961,8,8,100.0
6,Vandy,1961,8,8,100.0
7,Donie,1961,7,7,100.0
8,Marice,1961,7,7,100.0
9,Terril,1961,7,7,100.0
10,Donnis,1961,6,6,100.0
11,Joby,1961,6,6,100.0
12,Mallie,1961,6,6,100.0
13,Marque,1961,6,6,100.0
14,Celester,1961,5,5,100.0
15,Constant,1961,5,5,100.0
16,Emerald,1961,5,5,100.0
17,Krishna,1961,5,5,100.0
18,Marcell,1961,23,22,95.65
19,Demetris,1961,19,20,95.0
20,Ollie,1961,107,113,94.69
21,Joie,1961,17,18,94.44
22,Jeryl,1961,16,17,94.12
23,Teddie,1961,17,16,94.12
24,Dorian,1961,65,61,93.85
25,Torry,1961,12,13,92.31
26,Val,1961,88,96,91.67
27,Collie,1961,11,12,91.67
28,Johann,1961,10,9,90.0
29,Nieves,1961,9,10,90.0
30,Angel,1961,667,597,89.51
31,Terryl,1961,16,18,88.89
32,Lindley,1961,9,8,88.89
